"Drug Name","Active Ingredient","Application Number","Application Type","Supplement Date","Database Updated","Link"
"ABILIFY","ARIPIPRAZOLE","021436","NDA","11/30/2022","12/30/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=38"
"ABILIFY","ARIPIPRAZOLE","021713","NDA","02/05/2020","03/03/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=39"
"ABILIFY","ARIPIPRAZOLE","021729","NDA","02/05/2020","02/07/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=40"
"ABILIFY","ARIPIPRAZOLE","021866","NDA","02/05/2020","02/07/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=41"
"ABILIFY MAINTENA KIT","ARIPIPRAZOLE","202971","NDA","02/05/2020","02/07/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=24"
"ABILIFY MYCITE KIT","ARIPIPRAZOLE","207202","NDA","11/30/2022","12/06/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2193"
"ABRAXANE","PACLITAXEL","021660","NDA","08/25/2020","05/12/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1655"
"ABRILADA","ADALIMUMAB-AFZB","761118","BLA","10/04/2023","10/05/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2650"
"ABSORICA","ISOTRETINOIN","021951","NDA","07/18/2023","07/21/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1555"
"ABSORICA LD","ISOTRETINOIN","211913","NDA","07/18/2023","07/21/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2819"
