Drug,Application Number,Date,Boxed Warning,Contraindications,Warnings and Precautions,Adverse Reactions,Drug Interactions,Use in Specific Populations,PCI/PI/MG
ABILIFY(NDA-021436),021436,11/30/2022,,,,x,,x,
ABILIFY(NDA-021436),021436,02/05/2020,,,,x,,,
ABILIFY(NDA-021436),021436,02/05/2020,,,,x,,,
ABILIFY(NDA-021436),021436,08/07/2019,,,,,,x,
ABILIFY(NDA-021436),021436,02/23/2017,,,x,x,,,
ABILIFY(NDA-021436),021436,08/18/2016,,,x,x,,,x
ABILIFY(NDA-021436),021436,01/15/2016,,,,x,,,
ABILIFY(NDA-021713),021713,02/05/2020,,,,x,,,
ABILIFY(NDA-021713),021713,02/05/2020,,,,x,,,
ABILIFY(NDA-021713),021713,08/07/2019,,,,,,x,
ABILIFY(NDA-021713),021713,02/23/2017,,,x,x,,,
ABILIFY(NDA-021713),021713,08/18/2016,,,x,x,,,x
ABILIFY(NDA-021713),021713,01/15/2016,,,,x,,,
ABILIFY(NDA-021729),021729,02/05/2020,,,,x,,,
ABILIFY(NDA-021729),021729,02/05/2020,,,,x,,,
ABILIFY(NDA-021729),021729,08/07/2019,,,,,,x,
ABILIFY(NDA-021729),021729,02/23/2017,,,x,x,,,
ABILIFY(NDA-021729),021729,08/18/2016,,,x,x,,,x
ABILIFY(NDA-021729),021729,01/15/2016,,,,x,,,
ABILIFY(NDA-021866),021866,02/05/2020,,,,x,,,
ABILIFY(NDA-021866),021866,02/05/2020,,,,x,,,
ABILIFY(NDA-021866),021866,08/07/2019,,,,,,x,
ABILIFY(NDA-021866),021866,02/23/2017,,,x,x,,,
ABILIFY(NDA-021866),021866,08/18/2016,,,x,x,,,x
ABILIFY(NDA-021866),021866,01/15/2016,,,,x,,,
ABILIFY MAINTENA KIT(NDA-202971),202971,02/05/2020,,,,x,,,
ABILIFY MAINTENA KIT(NDA-202971),202971,07/27/2017,,,x,x,,,
ABILIFY MAINTENA KIT(NDA-202971),202971,02/23/2017,,,x,x,,,
ABILIFY MAINTENA KIT(NDA-202971),202971,08/18/2016,,,x,x,,,x
ABILIFY MAINTENA KIT(NDA-202971),202971,01/15/2016,,,,x,,,
ABILIFY MYCITE KIT(NDA-207202),207202,11/30/2022,,,,x,,x,
ABILIFY MYCITE KIT(NDA-207202),207202,12/19/2020,,,,x,,,x
ABILIFY MYCITE KIT(NDA-207202),207202,02/05/2020,,,,x,,,
ABILIFY MYCITE KIT(NDA-207202),207202,02/05/2020,,,,x,,,
ABRAXANE(NDA-021660),021660,08/25/2020,,x,x,,,x,x
ABRAXANE(NDA-021660),021660,12/06/2019,,,,,,x,
ABRAXANE(NDA-021660),021660,08/16/2018,,,x,x,x,x,x
ABRILADA(BLA-761118),761118,10/04/2023,,,x,x,x,,
ABRILADA(BLA-761118),761118,08/16/2023,,,x,x,,,x
ABRILADA(BLA-761118),761118,06/14/2023,,,x,x,,x,x
ABRILADA(BLA-761118),761118,07/29/2022,,,x,x,,x,x
ABSORICA(NDA-021951),021951,07/18/2023,,,x,x,,,x
ABSORICA(NDA-021951),021951,11/07/2019,x,x,x,x,x,x,x
ABSORICA(NDA-021951),021951,05/02/2018,,,x,,,,x
ABSORICA LD(NDA-211913),211913,07/18/2023,,,x,x,,,x
ABSTRAL(NDA-022510),022510,10/07/2019,,,x,,x,,x
ABSTRAL(NDA-022510),022510,12/16/2016,x,x,x,x,x,x,x
ACCRETROPIN(BLA-021538),021538,12/13/2016,,x,x,x,,,
ACCRUFER(NDA-212320),212320,02/16/2022,,,,,x,,
ACCUPRIL(NDA-019885),019885,04/26/2017,,x,x,,,,
ACCUPRIL(NDA-019885),019885,02/13/2017,,,,x,,,
ACCURETIC(NDA-020125),020125,02/19/2021,,,x,,,,
ACCURETIC(NDA-020125),020125,08/20/2020,,,x,x,,,
ACCURETIC(NDA-020125),020125,04/26/2017,,x,x,,,,
ACEON(NDA-020184),020184,09/29/2017,,x,x,,x,,
ACETADOTE(NDA-021539),021539,11/26/2024,,,x,x,,,
ACETADOTE(NDA-021539),021539,07/29/2016,,,x,x,,x,x
ACETAMINOPHEN(NDA-204767),204767,11/13/2020,,,,,,x,
ACIPHEX(NDA-020973),020973,07/18/2023,,,,x,,,
ACIPHEX(NDA-020973),020973,03/04/2022,,,x,x,,,x
ACIPHEX(NDA-020973),020973,11/27/2020,,x,x,x,,,x
ACIPHEX(NDA-020973),020973,06/07/2018,,,x,x,,,
ACIPHEX(NDA-020973),020973,01/09/2018,,,,x,x,x,x
ACIPHEX(NDA-020973),020973,10/24/2016,,,x,x,,,x
ACIPHEX(NDA-020973),020973,04/04/2016,,x,,,,,
ACIPHEX SPRINKLE(NDA-204736),204736,11/27/2020,,x,x,x,,,x
ACIPHEX SPRINKLE(NDA-204736),204736,06/07/2018,,,x,x,,,
ACIPHEX SPRINKLE(NDA-204736),204736,07/27/2017,,,x,x,x,x,x
ACIPHEX SPRINKLE(NDA-204736),204736,10/24/2016,,,x,x,,,x
ACIPHEX SPRINKLE(NDA-204736),204736,04/04/2016,,x,,,,,
ACTEMRA(BLA-125276),125276,09/20/2024,,,x,x,,x,x
