Drug Name,                                               BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT, Co  ,       PPI
ACIPHEX                                                    ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,     ,
ADENOSCAN                                                  ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,     ,
AGGRENOX                                                   ,      ,       ,       ,        ,       ,      ,       x,       ,      x,       ,       ,     ,
AREDIA                                                     ,      ,       ,       ,       x,       ,      ,       x,       ,      x,       ,       ,     ,
AZULFIDINE EN-TABS                                         ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,     ,
BIAXIN XL FILMTABS                                         ,      ,       ,       ,       x,      x,      ,        ,       ,      x,       ,       ,     ,
CEREBYX                                                    ,      ,       ,       ,        ,       ,     x,        ,       ,       ,       ,       ,     ,
CEREZYME                                                   ,      ,      x,      x,       x,       ,      ,        ,       ,      x,       ,       ,     ,
CLOZARIL                                                   ,      ,       ,      x,       x,      x,      ,        ,       ,      x,       ,       , x   ,
COZAAR Tablets & HYZAAR                                    ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,     ,
Cupric Chloride Injection                                  ,      ,       ,       ,        ,       ,     x,       x,       ,      x,       ,       ,     ,
Dextrose 5% & Sodium Chloride 0.225% Injection             ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
DILAUDID Oral Liquid & Tablets                             ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,     ,
DOPRAM                                                     ,      ,      x,      x,       x,       ,      ,        ,       ,      x,      x,       , x   ,
EpiPen & EpiPen                                            ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
EPIVIR-HBV Tablets                                         ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
Heparin Sodium                                             ,      ,       ,      x,        ,       ,      ,       x,       ,       ,       ,       ,     ,
LOPID Tablets                                              ,      ,      x,      x,        ,       ,     x,        ,       ,       ,       ,       , x   ,
LOPROX Cream                                               ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
MAXAIR Inhaler                                             ,      ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,     ,
NORVIR (ritonavir) Capsules                                ,      ,      x,      x,        ,       ,     x,       x,       ,      x,       ,       , x   ,    x
ParaGard T380A                                             ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,    x
PRINIVIL & PRINZIDE Tablets                                ,      ,       ,      x,        ,       ,      ,       x,       ,      x,       ,       ,     ,
QUINIDEX EXTENTABS                                         ,      ,       ,      x,        ,       ,     x,        ,       ,       ,       ,       ,     ,
SERAX (oxazepam) Tablets                                   ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,     ,
SINGULAIR (montelukast Na) Tablets                         ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,     ,
Sodium Lactate Injection                                   ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,    , 
SUFENTA (sufentanil citrate) Injection                     ,      ,       ,       ,       x,       ,      ,       x,       ,      x,       ,       ,     ,
TEQUIN (gatifloxacin) Tablets                              ,      ,       ,      x,       x,       ,      ,       x,       ,       ,       ,       ,      ,
TOPAMAX Tablets & Sprinkle Capsule                         ,      ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,     , 
ULTANE Liquid for Inhalation                               ,      ,       ,      x,       x,       ,      ,        ,       ,       ,       ,       ,     ,
VALTREX                                                    ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
VISUDYNE                                                   ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,
XALATAN                                                    ,      ,      x,      x,       x,       ,      ,        ,       ,       ,       ,       ,     ,
ZAROXOLYN                                                  ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,     ,
ZOLOFT                                                     ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
