Drug Name                                                           BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,   Co,    PPI
AVANDIA (rosiglitazone maleate)                                      ,       ,      x,       x,       x,      ,      ,       x,       ,       ,        ,       ,
CASODEX (biclutamide)                                                ,       ,       x,      x,       x,      ,      ,        ,       ,       ,        ,       ,    x,  
CEFTIN (cefuroxime axetil)                                           ,       ,       ,       x,       ,       ,       ,       ,       ,       x,       ,       ,
CHIBROXIN (norfloxacin)                                              ,       ,       ,        ,      x,       ,       ,       ,       ,       ,        ,       ,
GLUCOPHAGE (metformin hydrochloride)                                 ,       ,       ,        ,       ,       ,       ,       ,       ,       ,        ,       ,
GLUCOVANCE (Glyburide/Metformin HCl)                                 ,       ,      x,        ,       ,       ,       ,       ,       ,       ,        ,       ,
HUMATROPE (somatropin)                                               ,       ,       ,       x,       ,       ,       ,       ,       ,       ,        ,       ,
HYDREA (hydroxyurea)                                                 ,       ,      x,       x,      x,       ,       ,       ,       ,       ,        ,       ,
IMITREX (sumatriptan)                                                ,       ,       ,       x,       ,       ,       ,       ,       ,       ,        ,       ,
KETALAR (ketamine hydrochloride)                                     ,       ,       ,       ,      x,        ,       ,       ,       ,       ,        ,       ,
LEVATOL (penbutolol sulfate)                                         ,       ,       ,      x,       ,        ,       ,       ,       ,       ,        ,       ,
LIPOSYN II 10% & 20% (fat emulsion)                                  ,       ,       ,      x,       x,       ,       ,       ,       ,       ,       x,       ,
MERIDIA (sibutramine)                                                ,       ,       ,       ,       ,        ,       ,       ,       ,      x,        ,       ,
MERREM I.V (meropenem)                                               ,       ,       ,      x,      x,        ,       ,       ,       ,       ,        ,       ,
MIVACRON (mivacurium chloride)                                       ,       ,       ,      x,       x,       ,       ,      x,       ,       ,        ,       ,
Monopril HCT (fosinopril Na/hydrochlorothiazide)                     ,       ,       ,      x,       ,        ,       ,       ,       ,       ,        ,       ,
MS CONTIN (morphine sulfate controlled-release)                      ,       ,       ,      x,       ,        ,       ,       ,       ,       ,        ,       ,
MYLOTARG (gemtuzumab ozogamicin)                                    x,       ,       ,       ,      x,       x,       ,       ,       ,      x,        ,       ,
OPTICROM (cromolyn sodium)                                           ,       ,       ,      x,       ,        ,       ,       ,       ,       ,        ,       ,
PAXIL (paroxetine HCl)                                               ,       ,      x,      x,       ,        ,       ,       ,       ,       ,        ,       ,    x, 
PEPCID (famotidine)                                                  ,       ,       ,      x,       ,        ,       ,       x,      ,       ,        ,       ,
PHENERGAN (promethazine HCl)                                         ,       ,       ,      x,       ,        ,       ,       ,       ,       ,        ,       ,
PLASMA-LYTE                                                          ,       ,       ,      x,       ,        ,       ,       ,       ,       ,        ,       ,
PROTROPIN (somatrem)                                                 ,       ,       ,      x,       ,        ,       ,       ,       ,       ,        ,       ,
REBETRON (ribavirin/interferon alpha-2b)                             ,       ,       ,       ,       ,        ,       ,       ,       ,       ,        ,       ,
REMERON (mirtazapine)                                                ,       ,       ,      x,       ,        ,       ,       ,       ,       ,        ,       ,
SONATA (zaleplon)                                                    ,       ,       ,       ,       ,        ,       ,       ,       ,       ,        ,       ,
TOPROLOL XL (metoprolol succinate)                                   ,       ,       ,       ,       ,        ,       ,       ,       ,       ,        ,       ,
VANCOCIN (vancomycin HCl)                                            ,       ,       ,      x,       ,       x,       ,      x,       ,       ,        ,       ,
VASOTEC (enalapril maleate)                                          ,       ,       ,       ,      x,        ,       ,      x,       ,      x,        ,       ,
ZOLOFT (sertraline HCl)                                              ,       ,       ,      x,       ,        ,       ,       ,       ,       ,        ,       ,
ZITHROMAX (azithromycin)                                             ,       ,       ,       ,       ,        ,       ,       ,       ,      x,        ,       ,
ZYBAN (bupropion hydrochloride)                                      ,       ,       ,       ,      x,        ,       ,      x,       ,       ,        ,       ,
ZYVOX (linezolid)                                                    ,       ,      x,      x,      x,        ,       ,       ,       ,       ,        ,       ,
