Drug Name,                                                              BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co,     PPI
CYTOXAN (cyclophosphamide)                                                ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,       , 
ELIMITE (permethrin)                                                      ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       , 
EPIVIR (lamivudine)                                                      x,      ,      x,      x,       x,       ,      ,        ,       ,       ,       ,       ,       , 
EVISTA (raloxifene)                                                       ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,       , 
EXELON (rivastigmine tartrate)                                            ,      ,      x,      x,       x,       ,      ,        ,       ,      x,       ,       ,       , 
FEMARA (letrozole)                                                        ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       , 
FOSAMAX (alendronate Na)                                                  ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       , 
KALETRA (lopinavir/ritonavir)                                             ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       , 
NOVANTRONE (mitoxantrone)                                                 ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       , 
PRECEDEX (dexmedetomidine)                                                ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
PROSCAR (finasteride)                                                     ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
SERZONE (nefazodone HCl)                                                  ,      ,       ,      x,       x,       ,      ,        ,       ,       ,       ,       ,       ,
STADOL NS (butorphanol tartrate)                                          ,      ,       ,      x,        ,       ,      ,       x,       ,       ,       ,       ,       , 
STROMECTOL (ivermectin)                                                   ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       , 
SYPRINE (trientine HCl)                                                   ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       , 
TAPAZOLE (methimazole)                                                    ,      ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,       , 
TRUSOPT (dorzolamide HCl)                                                 ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       , 
