Drug Name,                                                              BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co,     PPI
ACTOS (pioglitazone HCl) Tablets                                          ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
AKINETON (biperidine HCl) Tablets                                         ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,  
ALLEGRA                                                                   ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,       ,
ANAFRANIL (clomipramine HCl)                                              ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
BREVITAL                                                                  ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,       ,
BUSPAR                                                                    ,      ,       ,      x,        ,       ,      ,       x,       ,       ,       ,       ,       ,
COPAXONE                                                                  ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
CORDARONE                                                                 ,      ,       ,      x,       x,       ,      ,        ,       ,      x,       ,       ,       ,
DILAUDID-HP                                                               ,      ,       ,      x,        ,       ,      ,        ,       ,      x,       ,       ,       ,
Eulexin                                                                   ,      ,       ,       ,        ,       ,      ,       x,       ,       ,       ,       ,       ,
GENOTROPIN                                                                ,      ,       ,      x,       x,      x,      ,        ,       ,      x,       ,       ,       ,
IONOSOL B & 5% Dextrose Injection                                         ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
MESTINON                                                                  ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
NAVANE                                                                    ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
NICOTROL NS                                                               ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
OCUFEN                                                                    ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
ORAMORPH                                                                  ,      ,       ,       ,        ,       ,      ,       x,       ,      x,       ,       ,       ,
Oxycontin                                                                 ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
PAMELOR                                                                   ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
PROGRAF                                                                   ,      ,       ,      x,       x,       ,      ,        ,       ,       ,       ,       ,       ,
PROTONIX (pantoprazole Na) I.V.                                           ,      ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,       ,
PROTONIX (pantoprazole Na) Delayed-release Tablets                        ,      ,       ,       ,        ,       ,     x,        ,       ,       ,       ,       ,       ,
REBETOL (ribavirin) Capsules                                              ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
Sulfamylon (mafenide acetate)                                             ,      ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,       ,
TAMIFLU (oseltamivir phosphate)                                           ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
VIDEX (didanosine) Tablets                                                ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
ZADITOR (ketotifen fumarate) Opthalmic Solution                           ,      ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,       ,
ZINACEF(CEFUROXIME Na)                                                    ,      ,       ,      x,       x,       ,      ,        ,       ,       ,       ,       ,       ,
