Drug Name                                                                               BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co,     PPI
AGGRASTAT (tirofiban HCl)                                                                 ,      ,       ,      x,       x,       ,      ,        ,       ,       ,       ,       ,       ,
ATARAX (hydroxyzine HCl)                                                                  ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
AXID (nizatidine)                                                                         ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,  
BAYCOL (cerivastatin Na)                                                                  ,      ,       ,      x,       ,        ,      ,       x,       ,       ,       ,      ,        ,
CRIXIVAN (indinavir sulfate)                                                              ,      ,      x,      x,       ,        ,      ,       x,       ,       ,       ,      ,        ,
CYKLOKAPRON (tranexamic acid)                                                             ,      ,       ,       ,      x,        ,      ,        ,       ,       ,       ,       ,       ,
ELAVIL (amitriptyline HCl)                                                                ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,      x,       
EPIVIR (lamivudine)                                                                       ,       ,       ,      x,       ,       ,       ,      x,       ,       ,       ,       ,       ,  
EULEXIN (flutamide)                                                                       ,       ,      x,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,
FAMVIR (famciclovir)                                                                      ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
FLOVENT ROTADISK (fluticasone propionate)                                                 ,       ,       ,      x,       ,       ,       ,       ,       ,       ,       ,       ,       ,  
KALETRA (lopinavir/ritonavir)                                                             ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,  
* MELLARIL (thioridazine HCL)                                                             ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
NASAREL (flunisolide)                                                                     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
NORVIR (ritonavir)                                                                        ,       ,       ,      x,       ,       ,       ,       ,       ,       ,       ,       ,       ,  
ORLAAM (levomethadyl acetate HCl)                                                        x,       ,      x,      x,      x,       ,       ,      x,       ,       ,       ,       ,      x,       
REBETRON (Interferon alfa-2b/Ribavirin)                                                   ,       ,      x,      x,      x,       ,       ,       ,       ,       ,       ,       ,       ,       
RETROVIR (zidovudine)                                                                     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
SERZONE (nefazodone HCl)                                                                  ,       ,       ,       ,      x,       ,       ,       ,       ,       ,       ,       ,       ,       
TEGRETOL (carbamazepine)                                                                  ,       ,       ,       ,       ,       ,       ,       ,       ,      x,       ,       ,       ,       
ULTANE (sevoflurane)                                                                      ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
"VISTARIL (hydroxyzine HCl), (hydroxyzine pamoate)"                                       ,       ,       ,      x,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
