Drug Name,                                                                              BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co,     PPI
AGENERASE (amprenavir)                                                                    ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       , 
ANTAGON (ganirelix acetate)                                                               ,      ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,       ,
AquaMEPHYTON (phytonadione)                                                               ,      ,      x,       ,       x,       ,      ,        ,       ,      x,       ,       ,       ,
AVAPRO (irbesartan)                                                                       ,      ,       ,      x,        ,       ,      ,        ,       ,      x,       ,       ,       ,
AVELOX ABC Pack (moxifloxacin)                                                            ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
BAYCOL (cerivastatin Na)                                                                  ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
BUSPAR (buspirone HCl)                                                                    ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
DOBUTAMINE                                                                                ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
EFFEXOR & EFFEXOR XR (venlafaxine HCl)                                                    ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
FLOMAX (tamsulosin HCl)                                                                   ,      ,      x,      x,       x,       ,      ,        ,       ,       ,       ,       ,       ,
INDERIDE & INDERIDE LA (propranolol HCl/hydrochlorothiazide)                              ,      ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
INOmax (nitric oxide)                                                                     ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
LAMICTAL (lamotrigine)                                                                    ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
LO/OVRAL (norgestrel/ethinyl estradiol & ferrous fumarate)                                ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
LORABID (loracarbef)                                                                      ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
MERETEK UBT Kit ( 13 C-urea)                                                              ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
METHOTREXATE                                                                              ,      ,       ,       ,        ,      x,      ,        ,       ,      x,       ,       ,       ,
MOBAN (molindone HCl)                                                                     ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
MYLOTARG (gemtuzumab ozogamycin)                                                         x,      ,      x,      x,        ,       ,      ,        ,       ,      x,       ,       ,       ,
ORLAAM (levomethadyl acetate HCl)                                                        x,      ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
PREVACID (lansoprazole)                                                                   ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
PROTONIX (pantoprazole Na)                                                                ,      ,       ,      x,        ,       ,      ,       x,       ,      x,       ,       ,       ,
RESCRIPTOR (delavirdine mesylate)                                                         ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
REVIA (naltrexone HCl)                                                                    ,      ,       ,      x,       x,       ,      ,        ,       ,       ,       ,       ,      x,
SEREVENT (salmeterol xinafoate)                                                           ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,       ,
SPORANOX (itraconazole)                                                                  x,      ,       ,      x,       x,      x,      ,       x,       ,       ,       ,       ,      x,
TOBRASONE & TOBRAFLEX (tobramycin & fluorometholone acetate)                              ,      ,      x,      x,        ,       ,      ,        ,       ,      x,       ,       ,       ,
VERSED (midazolam HCl)                                                                    ,      ,      x,      x,        ,       ,      ,        ,       ,      x,       ,       ,       ,
ZANTAC (ranitidine HCl)                                                                   ,      ,       ,      x,        ,       ,      ,       x,       ,      x,       ,       ,       ,
ZOVIRAX (acyclovir)                                                                       ,      ,       ,      x,       x,      x,      ,       x,       ,       ,       ,       ,       ,
