Drug Name,                                                                              BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co,     PPI
ACCUTANE (isotretinoin) Capsules                                                          ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
ANSAID (flurbiprofen) Tablets                                                             ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
BETAPACE                                                                                  ,      ,       ,      x,       x,       ,      ,       x,       ,      x,       ,       ,       ,
CEFZIL (cefprozil) Tablets                                                                ,      ,       ,      x,        ,       ,      ,       x,       ,       ,       ,       ,       ,
CELEBREX (celecoxib) Capsule                                                              ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
COZAAR (losartan potassium) Tablets                                                       ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
CYKLOKAPRON (tranexamic acid) Injection                                                   ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
DANTRIUM (dantrolene sodium) Injection                                                    ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
Derma-Smoothe / FS (fluocinolone acetonide) Topical Oil                                   ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
DIPROLENE AF (betamethasone dipropionate) Cream 0.05%                                     ,      ,       ,      x,       x,      x,      ,       x,       ,       ,       ,       ,       ,
DIPROSONE (betamethasone dipropionate) Ointment 0.05%                                     ,      ,       ,      x,       x,      x,      ,       x,       ,       ,       ,       ,       ,
DIPROSONE (betamethasone dipropionate) Cream 0.05%                                        ,      ,       ,      x,       x,      x,      ,       x,       ,       ,       ,       ,       ,
DIPROSONE (betamethasone dipropionate) Lotion 0.05%                                       ,      ,       ,      x,       x,      x,      ,       x,       ,       ,       ,       ,       ,
GEREF Diagnostic (sermorelin acetate) Injection                                           ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
LOTRISONE (clotrimazole/betamethasone dipropionate) Cream                                 ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
MAXAQUIN (lomefloxacin) Tablets                                                           ,      ,      x,       ,        ,       ,      ,       x,       ,       ,       ,       ,       ,
Meprobamate Tablets                                                                       ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
MEVACOR (lovastatin) Tablets                                                              ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
MYAMBUTOL (ethambutol) Tablets                                                            ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,       ,
NAVELBINE (vinorelbine tartrate) Injection                                                ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
PARNATE (tranylcypromine sulfate) Tablets                                                 ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,      x,
PRILOSEC (omeprazole) Capsules                                                            ,      ,       ,      x,        ,       ,      ,       x,       ,      x,       ,       ,       ,
Propylthiouracil Tablets                                                                  ,      ,      x,      x,       x,       ,      ,        ,       ,       ,       ,       ,       ,
PROTONIX I.V. (pantoprazole sodium)                                                       ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
REBETRON                                                                                 x,      ,       ,      x,       x,       ,      ,        ,       ,       ,       ,       ,       ,
RELAFEN (nabumetone) Tablets                                                              ,      ,       ,      x,       x,       ,      ,        ,       ,       ,       ,       ,       ,
RETROVIR (zidovudine)                                                                     ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
RHINOCORT AQUA (budesonide) Nasal Spray                                                   ,      ,       ,       ,        ,       ,      ,       x,       ,       ,       ,       ,       ,
ROWASA (mesalamine) Rectal Suspension                                                     ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,       ,
SUSTIVA (efavirenz) Capsules                                                              ,      ,      x,      x,       x,      x,      ,        ,       ,       ,       ,       ,       ,    x
SYNALGOS DC (dihydrocodeine bitartrate) Capsules                                          ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
TAZORAC (tazarotene) Cream 0.1%                                                           ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,       ,
TEQUIN (gatifloxacin) for Injection                                                       ,      ,      x,      x,       x,       ,      ,       x,       ,      x,       ,       ,       ,
TONOCARD (tocainide HCl) Tablets                                                          ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
TRILAFON (perphenazine) Tablets & Injection                                               ,      ,      x,      x,        ,       ,      ,        ,       ,      x,       ,       ,       ,
ZERIT (stavidine) Capsules & Pediatric Oral Solution                                      ,      ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
ZINACEF (cefuroxime) Injection                                                            ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
ZOLOFT (sertraline HCl) Tablets & Oral Concentrate                                        ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       ,
