Drug Name,                                                               BW,        C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co,  PPI
ACCUTANE (isotretinoin)                                                 ,            ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,       
ACCUTANE (isotretinoin)                                                 ,            ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
ALORA (estradiol)                                                       ,            ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
AMOXIL                                                                  ,            ,       ,       ,        ,       ,      ,       x,       ,       ,       ,       ,     ,
AUGMENTIN (amoxicillin/clavulanate potassium)                           ,            ,       ,       ,        ,       ,      ,       x,       ,       ,       ,       ,     ,
ARGATROBAN                                                              ,            ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
BUSULFEX (busulfan)                                                     ,            ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,     ,
CARNITOR (levocarnitine)                                                ,            ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,     ,
CEFTIN (cefuroxime axetil)                                              ,            ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,     ,
"CERUMENEX (triethanolamine polypeptide 
              oleate-condensate)"                                       ,            ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,     ,

Chromic Chloride Injection                                              ,            ,      x,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
CIPRO (ciprofloxacin HCl)                                               ,            ,       ,      x,       x,      x,      ,       x,       ,      x,      x,       ,     ,
CIPRO (ciprofloxacin) Injection                                         ,            ,       ,      x,       x,      x,      ,       x,       ,      x,       ,       ,     ,
CONCERTA (methylphenidate HCl)                                          ,            ,      x,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
COSOPT (dorzolamide/timolol)                                            ,            ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,     ,
CUTIVATE (fluticasone propionate)                                       ,            ,       ,       x,       ,      ,       ,        ,       ,       x,      ,       ,     ,
CYTOTEC (misoprostol)                                                   ,            ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
DIOVAN (valsartan)                                                      ,            ,       ,       ,        ,       ,      ,        ,       ,       x,      ,       ,     ,
Erythromycin Ethylsuccinate                                             ,           x,       ,       x,       x ,     ,      ,        ,       ,       ,       ,       ,     ,
HALDOL (haloperidol)                                                    ,            ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
Electrolyte/Replacememt Solutions                                       ,            ,       ,       x,        ,      ,      ,        ,       ,       ,       ,       ,     ,
LIPITOR (atorvastatin calcium)                                          ,            ,       ,       ,        ,      x,      ,        x,      ,      x,       ,       ,     ,
MAXALT (rizatriptan benzoate)                                           ,            ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,     ,     x
MEGACE (megestrol acetate)                                              ,            ,      x,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
METADATE CD (methylphenidate HCl)                                       ,            ,       ,      x,        ,       ,      ,       x,       ,      x,       ,       ,     ,
NUTROPIN AQ (somatropin)                                                ,            ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,     ,
PROPECIA (finasteride)                                                  ,            ,       ,      x,       x,       ,      ,       x,       ,       ,       ,       ,     ,
PROTONIX (pantoprazole sodium)                                          ,            ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
QUIXIN (levofloxacin)                                                   ,            ,       ,       ,        ,      x,      ,       x,       ,       ,       ,       ,     ,
REMERON (mirtazapine)                                                   ,            ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
REMINYL (galantamine HBr)                                               ,            ,       ,       ,        ,       ,     x,        ,       ,       ,       ,       ,     ,
"SINOGRAFIN (diatrizoate meglumine and 
              iodipimide meglumine)"                                    ,            ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,     ,
SPORANOX (itraconazole)                                                 ,            ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
TRILEPTAL (oxcarbazepine)                                               ,            ,      x,       ,       x,       ,      ,        ,       ,       ,       ,       ,     ,
TRUSOPT (dorzolamide HCl)                                               ,            ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,     ,
VIDEX (didanosine)                                                      ,            ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
VIOXX (rofecoxib)                                                       ,            ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,     ,
VISUDYNE (verteporfin)                                                  ,            ,       ,       ,        ,      x,      ,        ,       ,       ,       ,       ,     ,
