Drug Name,                                                                                        BW,       C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co, PPI
ARIXTRA (fondaparinux sodium)                                                                       ,        ,       ,       ,       ,        ,      ,        ,       ,       ,       ,       ,      ,
AVANDIA (rosiglitazone maleate)                                                                     ,        ,       ,      x,       ,        ,      ,        ,       ,       ,       ,       ,      
BECONASE (beclomethasone dopropionate)                                                              ,        ,       ,       ,       ,        ,      ,        ,       ,       ,       ,       ,      ,
BUSULFEX (busulfan)                                                                                 ,        ,      x,       ,      x,        ,      ,        ,       ,       ,       ,       ,      ,
CEFOBID (cefoperazone sodium)                                                                       ,        ,       ,      x,       ,        ,      ,        ,       ,       ,       ,       ,      ,
CEREDASE (alglucerase)                                                                              ,        ,       ,       ,       ,       x,      ,       x,       ,       ,       ,       ,      ,
Coly-Mycin M Parenteral (colistimethate)                                                            ,        ,       ,      x,       ,        ,      ,        ,       ,       ,       ,       ,      ,
CORDARONE (amiodarone HCl)                                                                          ,        ,       ,      x,      x,        ,      ,        ,       ,       ,       ,       ,      ,
CORTISPORIN Cream                                                                                   ,        ,       ,      x,       ,        ,      ,        ,       ,       ,       ,       ,      ,
DEPAKOTE                                                                                            ,        ,       ,       ,       ,        ,      ,        ,       ,       ,       ,       ,      ,
"HELIDAC THERAPY (bismuth subsalicylate/metronidazole/tetracycline 
              HCl)"                                                                                 ,        ,       ,      x,       ,        ,      ,        ,       ,       ,       ,       ,      ,
Manganese Chloride Injection                                                                        ,        ,      x,       ,       ,        ,      ,        ,       ,       ,       ,       ,      ,
MATULANE (procarbazine HCl)                                                                         ,        ,       ,       ,       ,        ,      ,        ,       ,       ,       ,       ,      ,
MONUROL (fosfomycin tromethamine)                                                                   ,        ,       ,      x,       ,        ,      ,        ,       ,       ,       ,       ,      ,
MYCELEX (clotrimazole)                                                                              ,        ,       ,      x,       ,        ,      ,        ,       ,       ,       ,       ,      ,
NovoLog (insulin aspart)                                                                            ,        ,       ,      x,       ,        ,      ,       x,       ,       ,       ,       ,      ,
PerioChip (chlorhexidine)                                                                           ,        ,       ,      x,       ,        ,      ,        ,       ,       ,       ,       ,      ,
PHENERGAN (promethazine HCl)                                                                        ,        ,       ,       ,       ,        ,      ,        ,       ,       ,       ,       ,      ,
Potassium Acetate Injection                                                                         ,        ,      x,       ,       ,        ,      ,        ,       ,       ,       ,       ,      ,
PREVACID (lansoprazole)                                                                             ,        ,       ,      x,       ,        ,      ,        ,       ,       ,       ,       ,      ,
PRILOSEC (omeprazole)                                                                               ,        ,       ,       ,       ,        ,      ,       x,       ,      x,       ,       ,      ,
RETROVIR (zidovudine)                                                                               ,        ,       ,       ,      x,        ,      ,        ,       ,       ,       ,       ,      ,
RYTHMOL (propafenone HCl)                                                                           ,        ,      x,      x,      x,        ,      ,       x,       ,       ,       ,       ,      ,
STATICIN (erythromycin)                                                                             ,        ,       ,      x,       ,        ,      ,        ,       ,       ,       ,       ,      ,
VIRACEPT (nelfinavir mesylate)                                                                      ,        ,       ,      x,       ,        ,      ,       x,       ,      x,       ,       ,     x,
VIRAMUNE (nevirapine)                                                                               ,        ,       ,       ,       ,        ,      ,        ,       ,       ,       ,       ,      ,
VIREAD (tenofovir disoproxil fumarate)                                                              ,        ,      x,       ,      x,        ,      ,        ,       ,      x,       ,       ,      , x
ZANOSAR (streptozocin)                                                                              ,        ,      x,      x,       ,        ,      ,        ,       ,      x,       ,       ,      ,
ZONALON (doxepin hydrochloride)                                                                     ,        ,       ,       ,       ,        ,      ,        ,       ,       ,       ,       ,      ,
ZYFLO (zileutin) Filmtab                                                                            ,        ,       ,      x,       ,        ,      ,       x,       ,       ,       ,       ,      ,
ZYVOX (linezolid)                                                                                   ,        ,      x,       ,       ,        ,      ,        ,       ,       ,       ,       ,      ,
