Drug Name,                                                                              BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co, PPI
ACCUPRIL (quinapril HCl)                                                                ,        ,       ,      x,        ,       ,     x,        ,       ,       ,       ,       ,      ,
ACTOS (pioglitazone)                                                                    ,        ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,
AGGRASTAT (tirofiban HCl)                                                               ,        ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,      ,
AREDIA (pamidronate disodium)                                                           ,        ,      x,      x,       x,       ,     x,        ,       ,      x,       ,       ,      ,
AZULFIDINE (sulfasalazine)                                                              ,        ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,
"CLINIMIX (amino acid in dextrose) & 
              CLINIMIX E (amino acid in dextrose with electrolytes)"                    ,        ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,
CLOZARIL (clozapine)                                                                    ,        ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,
CORTIFOAM (hydrocortisone acetate)                                                      ,        ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,
Migranal (dihydroergotamine)                                                            ,        ,      x,      x,       x,       ,      ,       x,       ,      x,      x,       ,     x,
DOBUTREX (dobutamine)                                                                   ,        ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,
ELOCON (mometasone furoate)                                                             ,        ,       ,      x,       x,      x,      ,       x,       ,      x,       ,       ,      ,
FORTOVASE (saquinavir)                                                                  ,        ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,
FOSAMAX (alendronate sodium)                                                            ,        ,      x,       ,       x,       ,      ,        ,       ,       ,       ,       ,      ,
GlucaGen (glucagon)                                                                     ,        ,       ,       ,        ,      x,      ,        ,       ,      x,       ,       ,      ,
HIVID (zalcitabine)                                                                     ,        ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,
INVIRASE (saquinavir mesylate)                                                          ,        ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,
ISOVUE-M (Iopamidol)                                                                    ,        ,      x,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,
LEVOXYL (levothyroxine sodium)                                                          ,        ,      x,       ,       x,       ,      ,        ,       ,      x,       ,       ,      ,
LONITEN (minoxidil)                                                                     ,        ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,
MANDOL (cefamandole nafate)                                                             ,        ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,
M.V.I.-pediatric (multi-vitamin)                                                        ,        ,      x,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,
NASONEX (mometasone furoate)                                                            ,        ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,
OMNISCAN (gadodiamide)                                                                  ,        ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,
PERGONAL (menotropins)                                                                  ,        ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,
PRAVACHOL (pravastatin sodium)                                                          ,        ,       ,       ,       x,      x,      ,        ,       ,       ,       ,       ,      ,
PREVACID (lansoprazole)                                                                 ,        ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,
PRILOSEC (omeprazole)                                                                   ,        ,      x,      x,        ,       ,     x,       x,       ,      x,       ,       ,      ,
PROZAC (fluoxetine HCl)                                                                 ,        ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,
RENOVA (tretinoin)                                                                      ,        ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,
SANDOSTATIN (octreotide acetate)                                                        ,        ,       ,       ,        ,       ,      ,       x,       ,       ,       ,       ,      ,
SPORANOX (itraconazole)                                                                 ,        ,      x,      x,       x,       ,      ,        ,       ,       ,       ,       ,      ,  x
TAXOTERE (docetaxel)                                                                    ,        ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,      ,
TESLASCAN (mangafodipir trisodium)                                                      ,        ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,
ZITHROMAX (azitrhomycin dihydrate)                                                      ,        ,       ,      x,       x,       ,      ,        ,       ,       ,       ,       ,      ,
