Drug Name,                                                              BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co, PPI
ACCUTANE (isotretinoin)                                                   ,      ,      x,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
ACTIQ (fentanyl citrate)                                                  ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
AGGRASTAT (tirofiban HCl)                                                 ,      ,       ,      x,       x,       ,      ,        ,       ,       ,       ,       ,      ,    ,
ANGIOMAX (bivalirudin)                                                    ,      ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,      ,    ,

APHTHASOL (amlexanox)                                                     ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
AVELOX (moxifloxacin HCl)                                                 ,      ,      x,      x,       x,       ,      ,       x,       ,      x,       ,       ,      ,   x,
BIAXIN (clarithromycin)                                                   ,      ,       ,      x,       x,       ,     x,        ,       ,       ,       ,       ,     x,    ,
CAFERGOT (ergotamine tartrate & caffeine)                                 ,      ,      x,       ,       x,       ,      ,        ,       ,       ,       ,       ,     x,    ,
CELEBREX (celecoxib)                                                      ,      ,      x,      x,       x,       ,      ,        ,       ,       ,       ,       ,      ,    ,
"CENESTIN (synthetic conjugated estrogens, A)"                            ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
CEREZYME (imiglucerase)                                                   ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
COLAZAL (balasalazide disodium)                                           ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
CRIXIVAN )indinavir sulfate)                                              ,      ,       ,      x,       x,       ,      ,        ,       ,       ,       ,       ,      ,   x,
DORYX (doxycycline hyclate)                                               ,      ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
EPIVIR (lamivudine)                                                       ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
EVISTA (raloxifene HCl)                                                   ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
"Ferrlecit (sodium ferric gluconate complex in sucrose)"                  ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
INVIRASE (saquinavir mesylate)                                            ,      ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
ISOVUE & ISOVUE Multipack (iopamidol)                                     ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,      ,    ,
LOTRONEX (alosetron HCl)                                                  ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
MONODOX (doxycycline monohydrate)                                         ,      ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
M.V.I.-12 (multi-vitamin)                                                 ,      ,      x,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
NASCOBAL (cyanocobalamin)                                                 ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
NEORAL (cyclosporine)                                                     ,      ,       ,      x,        ,       ,      ,       x,       ,      x,       ,       ,      ,    ,
NephrAmine (essential amino acid)                                         ,      ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
NEUTREXIN (trimetrexate glucuronate)                                      ,      ,       ,      x,       x,       ,      ,        ,       ,      x,       ,       ,      ,    ,
OMNISCAN (gadodiamide)                                                    ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
PARAFON FORTE DSC (chlorzoxazone)                                         ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
PEPCID (famotidine)                                                       ,      ,       ,      x,       x,       ,      ,        ,       ,      x,       ,       ,      ,    ,
Retin-A (tretinoin)                                                       ,      ,      x,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
"SALAGEN, (pilocarpine HCI)"                                              ,      ,       ,      x,        ,       ,      ,       x,       ,      x,       ,       ,      ,    ,
SARAFEM (fluoxetine HCl)                                                  ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
SERZONE (nefazodone HCl)                                                  ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
SKELAXIN (metaxalone)                                                     ,      ,       ,       ,        ,       ,      ,       x,       ,       ,       ,       ,      ,    ,
"TRIZIVIR (abacavir sulfate/ lamivudine/ zidovudine)"                     ,      ,      x,      x,       x,       ,      ,       x,       ,       ,       ,       ,      ,    ,
VIBRAMYCIN (doxycycline monohydrate)                                      ,      ,      x,      x,        ,       ,      ,        ,       ,       ,       ,       ,      ,    ,
"WELLBUTRIN & WELLBUTRIN SR (bupropion HCl)"                              ,      ,       ,       ,       x,       ,      ,       x,       ,       ,       ,       ,      ,    ,
