Drug Name,                                                                                  BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co,     PPI
ACIPHEX (rabeprazole sodium)                                                                 ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,        ,
"ALLEGRA-D (fexofenadine HCl and pseudoephedrine HCl )"                                      ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,        ,
AMINOHIPPURATE Sodium (PAH)                                                                  ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,        ,
BEXTRA (valdecoxib sodium)                                                                   ,      ,      x,       ,       x,       ,      ,        ,       ,       ,       ,       ,       x,
CANCIDAS (capsofungin acetate)                                                               ,      ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,        ,
CELEXA (citalopram HBr)                                                                      ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,        ,
CEREZYME (imiglucerase)                                                                      ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,        ,
CORTROSYN (cosyntropin)                                                                      ,      ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,        ,
Dextrose Injection                                                                           ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,       x,
DORAL (quazepam)                                                                             ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,        ,
ETOPOPHOS (etoposide phosphate)                                                              ,      ,       ,      x,        ,       ,      ,        ,       ,      x,       ,       ,        ,
FELBATOL (felbamate)                                                                         ,      ,       ,       ,        ,       ,      ,       x,       ,      x,       ,       ,        ,
HYZAAR (losartan potassium/hydrochlorothiazide)                                              ,      ,       ,       ,        ,       ,      ,        ,       ,      x,       ,       ,        ,
KALETRA (lopinavir/ritonavir)                                                                ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,        ,
KETALAR (ketamine HCl)                                                                       ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,        ,
MIOSTAT (carbachol)                                                                          ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,        ,
NAVELBINE (vinorelbine tartrate)                                                             ,      ,       ,      x,        ,       ,      ,       x,       ,      x,       ,       ,        ,
"Norgesic & Norgesic Forte (orphenadrine citrate/aspirin/caffeine)"                          ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,        ,
OPTIMINE (azatadine maleate)                                                                 ,      ,       ,       ,        ,       ,     x,        ,       ,       ,       ,       ,        ,
ORAP (pimozide)                                                                              ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,        ,
PERMAX (pergolide)                                                                           ,      ,      x,       ,        ,       ,      ,        ,       ,       ,       ,       ,        ,
PhosLo (calcium acetate)                                                                     ,      ,       ,      x,        ,       ,      ,        ,       ,       ,       ,       ,        ,
Platinol & Platinol-AQ (cisplatin)                                                           ,      ,      x,      x,       x,       ,      ,        ,       ,       ,       ,       ,        ,
PREMARIN (conjugated estrogens)                                                              ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,        ,
"PREMPRO (conjugated estrogens/medroxyprogesterone acetate)"                                 ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,        ,
"Prevpac (lansoprazole 30-mg capsules, 
              amoxicillin 500-mg capsules, and clarithromycin 500-mg tablets)"               ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,        ,
PRINZIDE (lisinopril/hydrochlorothiazide)                                                    ,      ,       ,      x,        ,       ,      ,        ,       ,      x,       ,       ,        ,
REBETRON COMBINATION THERAPY                                                                 ,      ,      x,      x,        ,       ,      ,       x,       ,       ,       ,       ,        ,
RISPERDOL (risperidone)                                                                      ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,        ,
STARLIX (nateglinide)                                                                        ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,        ,
TAXOTERE (docetaxel)                                                                         ,      ,       ,       ,        ,       ,      ,        ,       ,       ,       ,       ,        ,
TOPAMAX (topiramate)                                                                         ,      ,       ,       ,       x,       ,      ,        ,       ,       ,       ,       ,        ,
"VASERETIC (enalapril maleate/hydrochlorothiazide) & VASOTEC (enalaprilat)"                  ,      ,       ,      x,        ,       ,      ,        ,       ,      x,       ,       ,        ,
VePesid (etoposide)                                                                          ,      ,       ,      x,        ,       ,      ,       x,       ,       ,       ,       ,        ,
ZANAFLEX (tizanidine)                                                                        ,      ,       ,      x,       x,       ,     x,        ,       ,      x,       ,       ,        ,
