Drug Name,                                                              BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co,     PPI
AGENERASE (amprenavir),                                                  ,       ,       ,       ,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
AMINOSYN                                                                 ,       ,      x,      x,        ,       ,      ,       ,        ,      x,      ,        ,       ,         
AndroGel (testosterone)                                                  ,       ,       ,       ,        ,       ,      ,       ,        ,      x,      ,        ,       ,         
ARIMIDEX (anastrozole)                                                   ,       ,       ,       ,       x,       ,      ,       ,        ,       ,      ,        ,       ,         
BUMEX (bumetanide)                                                       ,       ,       ,      x,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
COMBIVIR (lamivudine/zidovudine)                                         ,       ,       ,       ,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
COSMEGEN (Dactinomycin)                                                  ,       ,       ,      x,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
DARAPRIN (pyrimethamine)                                                 ,       ,       ,      x,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
EFFEXOR XR (venlafaxine HCl)                                             ,       ,       ,       ,        ,       ,      ,       ,        ,      x,      ,        ,       ,         
EPIVIR (lamivudine)                                                      ,       ,       ,      x,       x,       ,      ,       ,        ,       ,      ,        ,       ,         
ETHRANE (enflurane)                                                      ,       ,       ,       ,       x,       ,      ,       ,        ,       ,      ,        ,       ,         
IDAMYCIN (idarubicin HCl)                                                ,       ,       ,      x,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
LARIAM (mefloquine HCl)                                                  ,       ,      x,      x,       x,       ,      ,       ,        ,       ,      ,        ,      x,         
LEVAQUIN (levofloxacin)                                                  ,       ,       ,       ,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
LIPITOR (atorvastatin calcium)                                           ,       ,       ,       ,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
MYKROX (metolazone) & ZAROXOLYN (metolazone)                             ,       ,       ,      x,        ,       ,      ,       ,        ,       ,      ,        ,       ,  
PAXIL                                                                    ,       ,       ,       ,        ,       ,      ,       ,        ,       ,      ,        ,       ,    
PRANDIN (repaglinide)                                                    ,       ,       ,      x,        ,       ,      ,      x,        ,       ,      ,        ,       ,         
PRAVACHOL (pravastatin sodium)                                           ,       ,       ,       ,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
PRECOSE (acarbose)                                                       ,       ,       ,      x,        ,       ,      ,      x,        ,       ,      ,        ,       , 
PROTONIX (pantoprazole sodium)                                           ,       ,       ,      x,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
"Renografin-60 - ( Diatrizoate Meglumine and Diatrizoate Sodium)"        ,       ,      x,       ,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
TEQUIN (gatifloxacin HCl)                                                ,       ,      x,      x,        ,       ,      ,      x,        ,       ,      ,        ,       ,         
THYROLAR (liotrix)                                                       ,       ,       ,      x,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
"TRIZIVIR (abacavir sulfate, lamivudine, and zidovudine)"                ,       ,       ,       ,       x,       ,      ,       ,        ,       ,      ,        ,       ,         
"VASERETIC (enalapril maleate/hydrochlorothiazide) 
& VASOTEC (enalaprilat) I.V."                                            ,       ,       ,      x,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
VUMON (teniposide)                                                       ,       ,       ,      x,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
"WELLBUTRIN (bupropion HCl) & WELLBUTRIN SR (bupropion HCl)"             ,       ,       ,      x,       x,       ,      ,       ,        ,       ,      ,        ,      x,         
ZAGAM (sparfloxacin)                                                     ,       ,       ,       ,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
ZIAGEN (abacavir sulfate)                                                ,       ,       ,       ,       x,       ,      ,       ,        ,       ,      ,        ,       ,         
ZINECARD (dexrazoxane)                                                   ,       ,       ,      x,        ,       ,      ,      x,        ,      x,      ,        ,       ,         
ZITHROMAX (azithromycin dihydrate)                                       ,       ,       ,      x,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
ZOCOR (simvastatin)                                                      ,       ,       ,       ,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
ZOMIG & ZOMIG -ZMT (zolmitriptan)                                        ,       ,       ,       ,       x,       ,      ,       ,        ,       ,      ,        ,       ,         
ZONEGRAN (zonisamide)                                                    ,       ,       ,      x,        ,       ,      ,       ,        ,       ,      ,        ,       ,         
ZYRTEC                                                                   ,       ,       ,       ,        ,       ,      ,       ,        ,       ,      ,        ,       ,      
