Drug Name,                                                              BW,     C,      W,      P,      AR,     IU,     O,      CP,     PL,     DA,     DI,     AT,     Co,    PPI
ALDARA (imiquimod)                                                        ,      ,       ,      x,        ,     x,      ,         ,       ,       ,       ,       ,       ,     
ALTOCOR (lovastatin)                                                      ,      ,       ,       ,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
ARIMIDEX (anastrozole)                                                    ,      ,       ,       ,        ,      ,      ,         ,       ,       ,       ,       ,       ,  

ATACAND (candesartan cilexetil)                                           ,      ,       ,      x,        ,      ,     x,        x,       ,      x,       ,       ,       ,     
AVAPRO (irbesartan)                                                       ,      ,       ,       ,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
CANCIDAS (caspofungin acetate)                                            ,      ,       ,       ,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
COZAAR (losartan potassium)                                               ,      ,       ,       ,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
CRIXIVAN (indinavir sulfate)                                              ,      ,       ,       ,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
GLUCOVANCE (Glyburide and Metformin HCL)                                  ,      ,       ,       ,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
Glycine Irrigation                                                        ,      ,      x,      x,       x,      ,      ,         ,       ,       ,       ,       ,       ,     
GoLYTELY (PEG-3350 and Electrolytes)                                      ,      ,       ,       ,       x,      ,      ,         ,       ,       ,       ,       ,       ,     
HIVID (zalcitabine)                                                       ,      ,       ,      x,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
"INDIUM OXINE (INDIUM In 111 Oxyquinoline Solution)"                      ,      ,       ,      x,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
LESCOL & LESCOL XL (fluvastatin sodium)                                   ,      ,       ,       ,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
MEVACOR (lovastatin)                                                      ,      ,      x,      x,       x,      ,      ,        x,       ,      x,       ,       ,       ,     
NEXIUM (esomeprazole magnesium)                                           ,      ,       ,       ,       x,      ,      ,         ,       ,       ,       ,       ,       ,     
PROTOPAM (pralidoxime chloride)                                           ,      ,       ,      x,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
REBETOL (ribavirin)                                                       ,      ,       ,       ,        ,      ,     x,         ,       ,       ,       ,       ,       ,     
REMERON (mirtazapine)                                                     ,      ,       ,      x,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
SORBITOL (Urologic Irrigating Solution)                                   ,      ,      x,       ,       x,      ,      ,         ,       ,       ,       ,       ,       ,     
SPORANOX (itraconazole)                                                   ,      ,       ,       ,        ,      ,      ,        x,       ,       ,       ,       ,       ,     
Sulfur Colloid Kit                                                        ,      ,       ,      x,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
SUSTIVA (efavirenz)                                                       ,      ,       ,       ,       x,      ,      ,         ,       ,       ,       ,       ,       ,     
VALTREX (valacyclovir HCl)                                                ,      ,       ,       ,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
VIAGRA                                                                    ,      ,      x,      x,       x,      ,      ,        x,       ,      x,       ,       ,       ,     
VIDEX (didanosine)                                                        ,      ,      x,      x,       x,      ,      ,        x,       ,       ,       ,       ,       ,     
WESTCORT (hydrocortisone valerate)                                        ,      ,       ,      x,        ,      ,      ,         ,       ,       ,       ,       ,       ,     
ZOLOFT (sertraline HCl)                                                   ,      ,       ,      x,        ,      ,      ,         ,       ,       ,       ,       ,      x,     
